SnapshotDate,Platform,AccountID,AccountLabel,IsRealMoney,Balance,Equity,AccountPL,PosID,Symbol,Direction,Size,SizeUnit,Opening,Latest,StopLoss,TakeProfit,PositionPL
08-04-2026,RebelsFunding,RF-749-44029,Copper,No,39997.00,39045.88,-951.12,#122595381,USD/CAD,Sell,3.00,lot,1.40230,1.40676,none,1.39293,-954.12
08-04-2026,RebelsFunding,RF-569-44026,Copper,No,39823.82,40153.91,330.09,#122885663,GBP/CHF,Sell,3.00,lot,1.08899,1.08810,none,1.0836,326.04
08-04-2026,RebelsFunding,RF-205-43891,Copper,No,9461.18,9415.75,-45.43,#122683909,NZD/CHF,Sell,0.75,lot,0.47500,0.47549,none,0.4675,-45.87
08-04-2026,RebelsFunding,42026425387055,Copper,No,9807.69,9778.02,-29.67,#123043143,EUR/CHF,Sell,0.75,lot,0.93251,0.93283,none,none,-30.53
08-04-2026,RebelsFunding,42026424057054,Copper,No,41095.41,40274.35,-821.06,#122650751,NZD/CAD,Sell,3.00,lot,0.82298,0.82683,none,0.81363,-822.82
08-04-2026,RebelsFunding,12026404876211,Gold,No,10048.70,10148.83,100.13,#122900623,GBP/CHF,Sell,0.50,lot,1.08971,1.08809,none,1.08262,99.46
08-04-2026,RebelsFunding,RCF-407-42579,Bronze,No,10001.86,10044.51,42.65,#123146139,EUR/CHF,Sell,0.75,lot,0.93325,0.93279,none,0.93003,41.79
